simulation_no.,personality,agent_1_list,agent_2_list,agent_3_list,group_list,turn_takings
1,High_extra_1,"[2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Torch with 4 battery-cells, Sunglasses (for everyone), Folding knife, Overcoat (for everyone), Plastic raincoat (large size), Bottle of 1000 salt tablets, 45 calibre pistol (loaded), Cosmetic mirror, Parachute (red & white), 2 litres of 180 proof liquor, A book entitled 'Desert Animals That Can Be Eaten'] ranking_complete.","[2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Torch with 4 battery-cells, Sunglasses (for everyone), Overcoat (for everyone), Plastic raincoat (large size), A book entitled 'Desert Animals That Can Be Eaten', 45 calibre pistol (loaded), Bottle of 1000 salt tablets, 2 litres of 180 proof liquor, Parachute (red & white), Folding knife, Cosmetic mirror] ranking_complete.","[Bottle of 1000 salt tablets, 2 litres of water per person, First-aid kit, Plastic raincoat (large size), Sunglasses (for everyone), A book entitled 'Desert Animals That Can Be Eaten', Air map of the area, Magnetic compass, Overcoat (for everyone), Torch with 4 battery-cells, 45 calibre pistol (loaded), Parachute (red & white), 2 litres of 180 proof liquor, Folding knife, A cosmetic mirror] ranking_complete.","This is our final list: [2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Plastic raincoat (large size), Sunglasses (for everyone), Bottle of 1000 salt tablets, Folding knife, 45 calibre pistol (loaded), Torch with 4 battery-cells, Overcoat (for everyone), Parachute (red & white), A book entitled 'Desert Animals That Can Be Eaten', Cosmetic mirror, 2 litres of 180 proof liquor] ",6
2,High_open_1,"[Folding knife, First-aid kit, 2 litres of water per person, Air map of the area, Magnetic compass, Torch with 4 battery-cells, Sunglasses (for everyone), Overcoat (for everyone), Cosmetic mirror, A book entitled 'Desert Animals That Can Be Eaten', 2 litres of 180 proof liquor, Parachute (red & white), 45 calibre pistol (loaded), Plastic raincoat (large size), Bottle of 1000 salt tablets] ranking_complete.","[2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Torch with 4 battery-cells, Sunglasses (for everyone), Folding knife, Plastic raincoat (large size), A book entitled 'Desert Animals That Can Be Eaten', Overcoat (for everyone), 45 calibre pistol (loaded), Cosmetic mirror, 2 litres of 180 proof liquor, Bottle of 1000 salt tablets, Parachute (red & white)] ranking_complete.","[2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Torch with 4 battery-cells, Folding knife, Sunglasses (for everyone), Plastic raincoat (large size), Overcoat (for everyone), Bottle of 1000 salt tablets, 45 calibre pistol (loaded), 2 litres of 180 proof liquor, Parachute (red & white), A book entitled 'Desert Animals That Can Be Eaten', A cosmetic mirror] ranking_complete.","This is our final list: [2 litres of water per person, First-aid kit, A book entitled 'Desert Animals That Can Be Eaten', Overcoat (for everyone), Air map of the area, Magnetic compass, Plastic raincoat (large size), Torch with 4 battery-cells, Sunglasses (for everyone), Folding knife, Bottle of 1000 salt tablets, Parachute (red & white), 45 calibre pistol (loaded), 2 litres of 180 proof liquor, Cosmetic mirror] ",8
3,High_agree_1,"[2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Sunglasses (for everyone), Plastic raincoat (large size), Torch with 4 battery-cells, 45 calibre pistol (loaded), A book entitled 'Desert Animals That Can Be Eaten', Overcoat (for everyone), 2 litres of 180 proof liquor, Parachute (red & white), Bottle of 1000 salt tablets, Folding knife, Cosmetic mirror] ranking_complete.","[2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Sunglasses (for everyone), Folding knife, Plastic raincoat (large size), Torch with 4 battery-cells, Bottle of 1000 salt tablets, 45 calibre pistol (loaded), A book entitled 'Desert Animals That Can Be Eaten', Overcoat (for everyone), 2 litres of 180 proof liquor, Parachute (red & white), A cosmetic mirror] ranking_complete.","[2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Sunglasses (for everyone), Folding knife, Plastic raincoat (large size), Torch with 4 battery-cells, 45 calibre pistol (loaded), A book entitled 'Desert Animals That Can Be Eaten', Overcoat (for everyone), 2 litres of 180 proof liquor, Parachute (red & white), Bottle of 1000 salt tablets, A cosmetic mirror] ranking_complete.","This is our final list: [2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Sunglasses (for everyone), Folding knife, Torch with 4 battery-cells, Plastic raincoat (large size), A book entitled 'Desert Animals That Can Be Eaten', Bottle of 1000 salt tablets, Parachute (red & white), Overcoat (for everyone), 45 calibre pistol (loaded), Cosmetic mirror, 2 litres of 180 proof liquor] ",6
4,High_consc_1,"[2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Sunglasses (for everyone), Torch with 4 battery-cells, Folding knife, Plastic raincoat (large size), Overcoat (for everyone), A book entitled 'Desert Animals That Can Be Eaten', 45 calibre pistol (loaded), 2 litres of 180 proof liquor, Parachute (red & white), Cosmetic mirror, Bottle of 1000 salt tablets] ranking_complete.","[2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Torch with 4 battery-cells, Sunglasses (for everyone), Overcoat (for everyone), Plastic raincoat (large size), A book entitled 'Desert Animals That Can Be Eaten', 45 calibre pistol (loaded), 2 litres of 180 proof liquor, Parachute (red & white), Bottle of 1000 salt tablets, Folding knife, Cosmetic mirror] ranking_complete.","[2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Torch with 4 battery-cells, Folding knife, Sunglasses (for everyone), Plastic raincoat (large size), Overcoat (for everyone), A book entitled 'Desert Animals That Can Be Eaten', 45 calibre pistol (loaded), 2 litres of 180 proof liquor, Parachute (red & white), Bottle of 1000 salt tablets, A cosmetic mirror] ranking_complete.","This is our final list: [2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Torch with 4 battery-cells, Folding knife, Plastic raincoat (large size), Sunglasses (for everyone), A book entitled 'Desert Animals That Can Be Eaten', Parachute (red & white), 45 calibre pistol (loaded), Bottle of 1000 salt tablets, Overcoat (for everyone), 2 litres of 180 proof liquor, Cosmetic mirror] ",6
5,Low_neuro_1,"[2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Folding knife, Sunglasses (for everyone), Plastic raincoat (large size), 45 calibre pistol (loaded), A book entitled 'Desert Animals That Can Be Eaten', 2 litres of 180 proof liquor, Overcoat (for everyone), Torch with 4 battery-cells, Parachute (red & white), Bottle of 1000 salt tablets, A cosmetic mirror] ranking_complete.","[2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Torch with 4 battery-cells, Folding knife, Sunglasses (for everyone), Plastic raincoat (large size), A book entitled 'Desert Animals That Can Be Eaten', 45 calibre pistol (loaded), 2 litres of 180 proof liquor, Overcoat (for everyone), Parachute (red & white), Bottle of 1000 salt tablets, A cosmetic mirror] ranking_complete.","[2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Torch with 4 battery-cells, Sunglasses (for everyone), Overcoat (for everyone), Plastic raincoat (large size), A book entitled 'Desert Animals That Can Be Eaten', 45 calibre pistol (loaded), 2 litres of 180 proof liquor, Parachute (red & white), Bottle of 1000 salt tablets, Cosmetic mirror, Folding knife] ranking_complete.","This is our final list: [2 litres of water per person, First-aid kit, Magnetic compass, Air map of the area, Folding knife, Plastic raincoat (large size), Torch with 4 battery-cells, Sunglasses (for everyone), A book entitled 'Desert Animals That Can Be Eaten', 45 calibre pistol (loaded), Bottle of 1000 salt tablets, Overcoat (for everyone), Parachute (red & white), 2 litres of 180 proof liquor, A cosmetic mirror] ",8
6,Low_extra_1,"[2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Sunglasses (for everyone), Plastic raincoat (large size), Torch with 4 battery-cells, 45 calibre pistol (loaded), Overcoat (for everyone), A book entitled 'Desert Animals That Can Be Eaten', Parachute (red & white), Bottle of 1000 salt tablets, 2 litres of 180 proof liquor, Cosmetic mirror] ranking_complete.","[2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Sunglasses (for everyone), Folding knife, Torch with 4 battery-cells, Plastic raincoat (large size), A book entitled 'Desert Animals That Can Be Eaten', 45 calibre pistol (loaded), 2 litres of 180 proof liquor, Overcoat (for everyone), Parachute (red & white), Bottle of 1000 salt tablets, A cosmetic mirror] ranking_complete.","[2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Torch with 4 battery-cells, 45 calibre pistol (loaded), Sunglasses (for everyone), Plastic raincoat (large size), Folding knife, A book entitled 'Desert Animals That Can Be Eaten', 2 litres of 180 proof liquor, Overcoat (for everyone), Parachute (red & white), Bottle of 1000 salt tablets, A cosmetic mirror] ranking_complete.","This is our final list: [2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Torch with 4 battery-cells, Folding knife, Plastic raincoat (large size), A book entitled 'Desert Animals That Can Be Eaten', Sunglasses (for everyone), Bottle of 1000 salt tablets, Overcoat (for everyone), 45 calibre pistol (loaded), Parachute (red & white), 2 litres of 180 proof liquor, Cosmetic mirror] ",8
7,Low_open_1,"[2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Sunglasses (for everyone), Torch with 4 battery-cells, Folding knife, Overcoat (for everyone), Plastic raincoat (large size), A book entitled 'Desert Animals That Can Be Eaten', 45 calibre pistol (loaded), 2 litres of 180 proof liquor, Parachute (red & white), Bottle of 1000 salt tablets, A cosmetic mirror] ranking_complete.","[2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Torch with 4 battery-cells, Sunglasses (for everyone), Plastic raincoat (large size), Overcoat (for everyone), Bottle of 1000 salt tablets, 45 calibre pistol (loaded), 2 litres of 180 proof liquor, Parachute (red & white), Folding knife, A book entitled 'Desert Animals That Can Be Eaten', A cosmetic mirror] ranking_complete.","[2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Folding knife, Torch with 4 battery-cells, Sunglasses (for everyone), Plastic raincoat (large size), Overcoat (for everyone), A book entitled 'Desert Animals That Can Be Eaten', 45 calibre pistol (loaded), 2 litres of 180 proof liquor, Parachute (red & white), Bottle of 1000 salt tablets, A cosmetic mirror] ranking_complete.","This is our final list: [2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Plastic raincoat (large size), Folding knife, Torch with 4 battery-cells, Sunglasses (for everyone), A book entitled 'Desert Animals That Can Be Eaten', Bottle of 1000 salt tablets, 45 calibre pistol (loaded), Parachute (red & white), 2 litres of 180 proof liquor, Overcoat (for everyone), Cosmetic mirror] ",9
8,Low_agree_1,"[2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Torch with 4 battery-cells, Folding knife, Sunglasses (for everyone), Plastic raincoat (large size), 45 calibre pistol (loaded), A book entitled 'Desert Animals That Can Be Eaten', Overcoat (for everyone), 2 litres of 180 proof liquor, Parachute (red & white), Bottle of 1000 salt tablets, A cosmetic mirror] ranking_complete.","[2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Torch with 4 battery-cells, Folding knife, Sunglasses (for everyone), Plastic raincoat (large size), Overcoat (for everyone), A book entitled 'Desert Animals That Can Be Eaten', 45 calibre pistol (loaded), 2 litres of 180 proof liquor, Parachute (red & white), Bottle of 1000 salt tablets, A cosmetic mirror] ranking_complete.","[2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Torch with 4 battery-cells, Folding knife, Bottle of 1000 salt tablets, Sunglasses (for everyone), 45 calibre pistol (loaded), Plastic raincoat (large size), Overcoat (for everyone), Parachute (red & white), 2 litres of 180 proof liquor, A book entitled 'Desert Animals That Can Be Eaten', A cosmetic mirror] ranking_complete.","This is our final list: [2 litres of water per person, First-aid kit, Folding knife, Air map of the area, Magnetic compass, Sunglasses (for everyone), Plastic raincoat (large size), Torch with 4 battery-cells, Cosmetic mirror, Parachute (red & white), A book entitled 'Desert Animals That Can Be Eaten', 45 calibre pistol (loaded), 2 litres of 180 proof liquor, Overcoat (for everyone), Bottle of 1000 salt tablets] ",7
9,Low_consc_1,"[2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Sunglasses (for everyone), Plastic raincoat (large size), 45 calibre pistol (loaded), Torch with 4 battery-cells, A book entitled 'Desert Animals That Can Be Eaten', Overcoat (for everyone), Bottle of 1000 salt tablets, Parachute (red & white), 2 litres of 180 proof liquor, Folding knife, A cosmetic mirror] ranking_complete.","[2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Torch with 4 battery-cells, Sunglasses (for everyone), Plastic raincoat (large size), Overcoat (for everyone), 45 calibre pistol (loaded), 2 litres of 180 proof liquor, Bottle of 1000 salt tablets, Parachute (red & white), Folding knife, A book entitled 'Desert Animals That Can Be Eaten', A cosmetic mirror] ranking_complete.","[2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Folding knife, 45 calibre pistol (loaded), Plastic raincoat (large size), Sunglasses (for everyone), Overcoat (for everyone), A book entitled 'Desert Animals That Can Be Eaten', Torch with 4 battery-cells, 2 litres of 180 proof liquor, Parachute (red & white), Bottle of 1000 salt tablets, A cosmetic mirror] ranking_complete.","This is our final list: [2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Sunglasses (for everyone), Overcoat (for everyone), Plastic raincoat (large size), Folding knife, Torch with 4 battery-cells, A book entitled 'Desert Animals That Can Be Eaten', Bottle of 1000 salt tablets, Parachute (red & white), 45 calibre pistol (loaded), 2 litres of 180 proof liquor, A cosmetic mirror] ",7
10,High_neuro_1,"[2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Sunglasses (for everyone), Plastic raincoat (large size), 45 calibre pistol (loaded), Torch with 4 battery-cells, A book entitled 'Desert Animals That Can Be Eaten', 2 litres of 180 proof liquor, Overcoat (for everyone), Bottle of 1000 salt tablets, Parachute (red & white), Cosmetic mirror, Folding knife] ranking_complete.","[2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Folding knife, Sunglasses (for everyone), Plastic raincoat (large size), 45 calibre pistol (loaded), Bottle of 1000 salt tablets, A book entitled 'Desert Animals That Can Be Eaten', 2 litres of 180 proof liquor, Overcoat (for everyone), Torch with 4 battery-cells, Parachute (red & white), A cosmetic mirror] ranking_complete.","[2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Torch with 4 battery-cells, Plastic raincoat (large size), Sunglasses (for everyone), 45 calibre pistol (loaded), Folding knife, A book entitled 'Desert Animals That Can Be Eaten', A cosmetic mirror, Overcoat (for everyone), 2 litres of 180 proof liquor, Parachute (red & white), Bottle of 1000 salt tablets] ranking_complete.","This is our final list: [2 litres of water per person, First-aid kit, Air map of the area, Magnetic compass, Folding knife, Torch with 4 battery-cells, Sunglasses (for everyone), Plastic raincoat (large size), A book entitled 'Desert Animals That Can Be Eaten', Overcoat (for everyone), Parachute (red & white), Bottle of 1000 salt tablets, 45 calibre pistol (loaded), 2 litres of 180 proof liquor, Cosmetic mirror] ",9
